ID	Gerência - CC	Nome	Processo	Programa	Versão	Data e Hora	Ciclo	Fuso	Torque	Ângulo	Status	FZ	Identificador
-	OCP - 204.4	GE PM Suspensao Global Atego	Suspensão Global Pino e Porca (4 apertos)- Atual	1	4	30/11/2017 23:22	4	1	227	24	OK	522171	373727610
-	OCP - 204.4	GE PM Suspensao Global Atego	Suspensão Global Pino e Porca (4 apertos)- Atual	1	4	30/11/2017 23:22	3	1	225	24	OK	522171	373727610
-	OCP - 204.4	GE PM Suspensao Global Atego	Suspensão Global Pino e Porca (4 apertos)- Atual	1	4	30/11/2017 23:22	2	1	225	12	OK	522171	373727610
-	OCP - 204.4	GE PM Suspensao Global Atego	Suspensão Global Pino e Porca (4 apertos)- Atual	1	4	30/11/2017 23:22	1	1	225	11	OK	522171	373727610
84494	OCP - 204.4	GE MI Suspensao LD	Suspensão Frontal Atego	2	2	30/11/2017 23:12	2	1	107,4	33	OK	522088	373570381
84493	OCP - 204.4	GE MI Suspensao LD	Suspensão Frontal Atego	2	2	30/11/2017 23:11	1	1	106,7	39	OK	522088	373570381
11009	OCP - 204.4	GE MI Suspensao LE	Suspensão Frontal Atego	2	2	30/11/2017 23:11	2	1	108,7	28	OK	522088	373570381
11008	OCP - 204.4	GE MI Suspensao LE	Suspensão Frontal Atego	2	2	30/11/2017 23:11	1	1	107,9	27	OK	522088	373570381
11007	OCP - 204.4	GE MI Suspensao LE	Suspensão Interna Atego	1	2	30/11/2017 23:11	3	1	172,8	80	OK	522088	373570381
84492	OCP - 204.4	GE MI Suspensao LD	Suspensão Interna Atego	1	3	30/11/2017 23:11	3	1	172,3	55	OK	522088	373570381
11006	OCP - 204.4	GE MI Suspensao LE	Suspensão Interna Atego	1	2	30/11/2017 23:11	2	1	172,8	87	OK	522088	373570381
11005	OCP - 204.4	GE MI Suspensao LE	Suspensão Interna Atego	1	2	30/11/2017 23:11	1	1	173,7	50	OK	522088	373570381
84491	OCP - 204.4	GE MI Suspensao LD	Suspensão Interna Atego	1	3	30/11/2017 23:11	2	1	173,6	77	OK	522088	373570381
84490	OCP - 204.4	GE MI Suspensao LD	Suspensão Interna Atego	1	3	30/11/2017 23:11	1	1	173,2	75	OK	522088	373570381
20408	OCP - 204.4	GE MI Pedaleira Axor	Reaperto do Parafuso da Pedaleira	2	1	30/11/2017 22:54	1	1	25,21	25	OK	522185	373842228
20407	OCP - 204.4	GE MI Pedaleira Axor	Pedaleira Axor	1	2	30/11/2017 22:54	6	1	25,14	77	OK	522185	373842228
20406	OCP - 204.4	GE MI Pedaleira Axor	Pedaleira Axor	1	2	30/11/2017 22:54	5	1	25,07	60	OK	522185	373842228
20405	OCP - 204.4	GE MI Pedaleira Axor	Pedaleira Axor	1	2	30/11/2017 22:54	4	1	25	58	OK	522185	373842228
