ID	Gerência - CC	Nome	Processo	Programa	Versão	Data e Hora	Ciclo	Fuso	Torque	Ângulo	Status	FZ	Identificador
-	OCB - 206.4	Cabo massa (LP)	APERTO CABO MASSA ( NTC ) - Atual	1	12	22/12/2017 07:39	2	1	12,06	33	OK	523699	373915645
-	OCB - 206.4	Cabo massa (LP)	APERTO CABO MASSA ( NTC ) - Atual	1	12	22/12/2017 07:39	1	1	12,02	25	OK	523699	373915645
-	OCB - 206.4	Cabo massa (LP)	APERTO CABO MASSA ( NTC ) - Atual	1	12	22/12/2017 07:36	2	1	12,15	38	OK	523704	373884211
-	OCB - 206.4	Cabo massa (LP)	APERTO CABO MASSA ( NTC ) - Atual	1	12	22/12/2017 07:36	1	1	12,05	36	OK	523704	373884211
-	OCB - 206.4	Cabo massa (LP)	APERTO CABO MASSA ( NTC ) - Atual	1	12	22/12/2017 07:33	2	1	12,17	38	OK	523603	373945560
-	OCB - 206.4	Cabo massa (LP)	APERTO CABO MASSA ( NTC ) - Atual	1	12	22/12/2017 07:33	1	1	12	59	OK	523603	373945560
-	OCB - 206.4	Cabo massa (LP)	APERTO CABO MASSA ( NTC ) - Atual	1	12	22/12/2017 07:27	2	1	12,05	49	OK	523670	373962702
-	OCB - 206.4	Cabo massa (LP)	APERTO CABO MASSA ( NTC ) - Atual	1	12	22/12/2017 07:27	1	1	12,03	36	OK	523670	373962702
-	OCB - 206.4	Cabo massa (LP)	APERTO CABO MASSA ( NTC ) - Atual	1	12	22/12/2017 07:23	2	1	12,06	37	OK	523708	373899524
-	OCB - 206.4	Cabo massa (LP)	APERTO CABO MASSA ( NTC ) - Atual	1	12	22/12/2017 07:23	1	1	12	36	OK	523708	373899524
91804	OCP - 204.4	GE MI Suspensao LD	Suspensão Frontal Axor FL4/FL2 MultiEtapa	4	5	22/12/2017 07:22	4	1	92,05	45	OK	523603	373945560
18627	OCP - 204.4	GE MI Suspensao LE	Suspensão Frontal Axor FL4/FL2 MultiEtapa	4	3	22/12/2017 07:22	5	1	92,69	45	OK	523603	373945560
91803	OCP - 204.4	GE MI Suspensao LD	Suspensão Frontal Axor FL4/FL2 MultiEtapa	4	5	22/12/2017 07:22	3	1	92,86	45	OK	523603	373945560
18626	OCP - 204.4	GE MI Suspensao LE	Suspensão Frontal Axor FL4/FL2 MultiEtapa	4	3	22/12/2017 07:22	4	1	92,02	45	OK	523603	373945560
91802	OCP - 204.4	GE MI Suspensao LD	Suspensão Frontal Axor FL4/FL2 MultiEtapa	4	5	22/12/2017 07:22	2	1	92,4	45	OK	523603	373945560
91801	OCP - 204.4	GE MI Suspensao LD	Suspensão Frontal Axor FL4/FL2 MultiEtapa	4	5	22/12/2017 07:22	1	1	92,98	45	OK	523603	373945560
18625	OCP - 204.4	GE MI Suspensao LE	Suspensão Frontal Axor FL4/FL2 MultiEtapa	4	3	22/12/2017 07:22	3	1	92,36	45	OK	523603	373945560
18624	OCP - 204.4	GE MI Suspensao LE	Suspensão Frontal Axor FL4/FL2 MultiEtapa	4	3	22/12/2017 07:22	2	1	92,47	45	OK	523603	373945560
18623	OCP - 204.4	GE MI Suspensao LE	Suspensão Frontal Axor FL4/FL2 MultiEtapa	4	3	22/12/2017 07:22	1	1	92,24	45	OK	523603	373945560
91800	OCP - 204.4	GE MI Suspensao LD	Suspensão Interna Axor FL4/FL2 MultiEtapa	3	5	22/12/2017 07:21	3	1	151,1	45	OK	523603	373945560
91799	OCP - 204.4	GE MI Suspensao LD	Suspensão Interna Axor FL4/FL2 MultiEtapa	3	5	22/12/2017 07:21	2	1	150,7	45	OK	523603	373945560
18622	OCP - 204.4	GE MI Suspensao LE	Suspensão Interna Axor FL4/FL2 MultiEtapa	3	3	22/12/2017 07:21	3	1	150,6	44	OK	523603	373945560
91798	OCP - 204.4	GE MI Suspensao LD	Suspensão Interna Axor FL4/FL2 MultiEtapa	3	5	22/12/2017 07:21	1	1	150,2	45	OK	523603	373945560
18621	OCP - 204.4	GE MI Suspensao LE	Suspensão Interna Axor FL4/FL2 MultiEtapa	3	3	22/12/2017 07:21	2	1	150,8	45	OK	523603	373945560
18620	OCP - 204.4	GE MI Suspensao LE	Suspensão Interna Axor FL4/FL2 MultiEtapa	3	3	22/12/2017 07:20	1	1	150	44	OK	523603	373945560
-	OCB - 206.4	Cabo massa (LP)	APERTO CABO MASSA ( NTC ) - Atual	1	12	22/12/2017 07:19	2	1	12,04	33	OK	523731	373899512
