ID	Gerência - CC	Nome	Processo	Programa	Versão	Data e Hora	Ciclo	Fuso	Torque	Ângulo	Status	FZ	Identificador
13330	OCB - 206.4	Coluna de Direção NTC	Cruzeta ATEGO - Atual	3	4	25/11/2017 13:04	1	1	31,02	81	OK	521266	373738322
-	OCB - 206.4	Cabo massa (LP)	APERTO CABO MASSA ( NTC ) - Atual	1	12	27/11/2017 07:09	2	1	12	37	OK	521266	373738322
-	OCB - 206.4	Cabo massa (LP)	APERTO CABO MASSA ( NTC ) - Atual	1	12	27/11/2017 07:09	2	1	12	37	OK	521266	373738322
-	OCP - 204.4	GE PM Suspensao Global Atego	Suspensão Global Pino e Porca (4 apertos)- Atual	1	4	27/11/2017 06:17	4	1	228	27	OK	521266	373738322
-	OCP - 204.4	GE PM Suspensao Global Atego	Suspensão Global Pino e Porca (4 apertos)- Atual	1	4	27/11/2017 06:17	3	1	225	22	OK	521266	373738322
-	OCP - 204.4	GE PM Suspensao Global Atego	Suspensão Global Pino e Porca (4 apertos)- Atual	1	4	27/11/2017 06:16	2	1	227	12	OK	521266	373738322
-	OCP - 204.4	GE PM Suspensao Global Atego	Suspensão Global Pino e Porca (4 apertos)- Atual	1	4	27/11/2017 06:16	1	1	225	11	OK	521266	373738322
-	OCB - 206.4	Pedaleira Dupla - Embreagem	Válvula de Freio NTC - Porca (4 apertos) - Atual	1	5	25/11/2017 14:34	4	1	17,5	23	OK	521266	373738322
-	OCB - 206.4	Pedaleira Dupla - Embreagem	Válvula de Freio NTC - Porca (4 apertos) - Atual	1	5	25/11/2017 14:34	3	1	18,25	34	OK	521266	373738322
-	OCB - 206.4	Pedaleira Dupla - Embreagem	Válvula de Freio NTC - Porca (4 apertos) - Atual	1	5	25/11/2017 14:34	2	1	17,53	35	OK	521266	373738322
-	OCB - 206.4	Pedaleira Dupla - Embreagem	Válvula de Freio NTC - Porca (4 apertos) - Atual	1	5	25/11/2017 14:34	1	1	17,25	10	OK	521266	373738322
9162	OCP - 204.4	GE MI Suspensao LE	Suspensão Frontal Atego	2	2	27/11/2017 07:14	2	1	106,2	73	OK	521266	373738322
9161	OCP - 204.4	GE MI Suspensao LE	Suspensão Frontal Atego	2	2	27/11/2017 07:14	1	1	106,9	34	OK	521266	373738322
82711	OCP - 204.4	GE MI Suspensao LD	Suspensão Frontal Atego	2	2	27/11/2017 07:14	2	1	106,6	35	OK	521266	373738322
82710	OCP - 204.4	GE MI Suspensao LD	Suspensão Frontal Atego	2	2	27/11/2017 07:14	1	1	106,6	25	OK	521266	373738322
9160	OCP - 204.4	GE MI Suspensao LE	Suspensão Interna Atego	1	2	27/11/2017 07:13	3	1	172,4	68	OK	521266	373738322
9159	OCP - 204.4	GE MI Suspensao LE	Suspensão Interna Atego	1	2	27/11/2017 07:13	2	1	172,5	112	OK	521266	373738322
82709	OCP - 204.4	GE MI Suspensao LD	Suspensão Interna Atego	1	3	27/11/2017 07:13	3	1	174,3	64	OK	521266	373738322
9158	OCP - 204.4	GE MI Suspensao LE	Suspensão Interna Atego	1	2	27/11/2017 07:13	1	1	172,1	54	OK	521266	373738322
82708	OCP - 204.4	GE MI Suspensao LD	Suspensão Interna Atego	1	3	27/11/2017 07:13	2	1	172,1	81	OK	521266	373738322
82708	OCP - 204.4	GE MI Suspensao LD	Suspensão Interna Atego	1	3	27/11/2017 07:13	2	1	172,1	81	OK	521266	373738322
