ID	Gerência - CC	Nome	Processo	Programa	Versão	Data e Hora	Ciclo	Fuso	Torque	Ângulo	Status	FZ	Identificador
91201	OCP - 204.4	GE MI Suspensao LD	Suspensão Interna Accelo	7	2	20/12/2017 15:30	3	1	109	60	OK	523453	373946010
18034	OCP - 204.4	GE MI Suspensao LE	Suspensão Interna Accelo	7	3	20/12/2017 15:29	3	1	106,1	30	OK	523453	373946010
91200	OCP - 204.4	GE MI Suspensao LD	Suspensão Interna Accelo	7	2	20/12/2017 15:29	2	1	106,2	41	OK	523453	373946010
18033	OCP - 204.4	GE MI Suspensao LE	Suspensão Interna Accelo	7	3	20/12/2017 15:29	2	1	106,2	35	OK	523453	373946010
91199	OCP - 204.4	GE MI Suspensao LD	Suspensão Interna Accelo	7	2	20/12/2017 15:29	1	1	106	27	OK	523453	373946010
18032	OCP - 204.4	GE MI Suspensao LE	Suspensão Interna Accelo	7	3	20/12/2017 15:29	1	1	106,8	19	OK	523453	373946010
18031	OCP - 204.4	GE MI Suspensao LE	Suspensão Frontal Accelo	8	2	20/12/2017 15:29	1	1	172,6	54	OK	523453	373946010
91198	OCP - 204.4	GE MI Suspensao LD	Suspensão Frontal Accelo	8	2	20/12/2017 15:29	1	1	173	51	OK	523453	373946010
-	OCB - 206.4	Pedaleira Accelo Pr.41 Porao	Console no suporte da Pedaleira - 7 - ATUAL	7	4	20/12/2017 13:19	8	1	21,5	0	OK	523453	373946010
-	OCB - 206.4	Pedaleira Accelo Pr.41 Porao	Console no suporte da Pedaleira - 7 - ATUAL	7	4	20/12/2017 13:19	7	1	21,63	0	OK	523453	373946010
-	OCB - 206.4	Pedaleira Accelo Pr.41 Porao	Console no suporte da Pedaleira - 7 - ATUAL	7	4	20/12/2017 13:19	6	1	21,04	95	OK	523453	373946010
-	OCB - 206.4	Pedaleira Accelo Pr.41 Porao	Console no suporte da Pedaleira - 7 - ATUAL	7	4	20/12/2017 13:19	5	1	21,26	4	OK	523453	373946010
-	OCB - 206.4	Pedaleira Accelo Pr.41 Porao	Valvula no Suporte - ATUAL	5	2	20/12/2017 13:18	4	1	18,29	0	OK	523453	373946010
-	OCB - 206.4	Pedaleira Accelo Pr.41 Porao	Valvula no Suporte - ATUAL	5	2	20/12/2017 13:18	3	1	18,61	0	OK	523453	373946010
-	OCB - 206.4	Pedaleira Accelo Pr.41 Porao	Valvula no Suporte - ATUAL	5	2	20/12/2017 13:18	2	1	18,23	0	OK	523453	373946010
-	OCB - 206.4	Pedaleira Accelo Pr.41 Porao	Valvula no Suporte - ATUAL	5	2	20/12/2017 13:18	1	1	18,46	0	OK	523453	373946010
18043	OCP - 204.4	GE MI Suspensao LE	Suspensão Frontal Axor FL4/FL2 MultiEtapa	4	3	20/12/2017 16:04	5	1	92,24	45	OK	523587	373927714
18042	OCP - 204.4	GE MI Suspensao LE	Suspensão Frontal Axor FL4/FL2 MultiEtapa	4	3	20/12/2017 16:04	5	1	66,27	722	NOK	523587	373927714
