ID	Gerência - CC	Nome	Processo	Programa	Versão	Data e Hora	Ciclo	Fuso	Torque	Ângulo	Status	FZ	Identificador
-	OCB - 206.4	Pedaleira Accelo Pr.41 Porao	Console no suporte da Pedaleira - 7 - ATUAL	7	4	31/10/2017 23:10	7	1	21,25	11	OK	520288	373566869
-	OCB - 206.4	Pedaleira Accelo Pr.41 Porao	Console no suporte da Pedaleira - 7 - ATUAL	7	4	31/10/2017 23:10	6	1	21,63	10	OK	520288	373566869
-	OCB - 206.4	Pedaleira Accelo Pr.41 Porao	Console no suporte da Pedaleira - 7 - ATUAL	7	4	31/10/2017 23:10	6	1	22,95	0	NOK	520288	373566869
-	OCB - 206.4	Pedaleira Accelo Pr.41 Porao	Console no suporte da Pedaleira - 7 - ATUAL	7	4	31/10/2017 23:10	5	1	21,08	1	OK	520288	373566869
-	OCB - 206.4	Pedaleira Accelo Pr.41 Porao	Valvula no Suporte - ATUAL	5	2	31/10/2017 23:09	4	1	18,44	0	OK	520288	373566869
-	OCB - 206.4	Pedaleira Accelo Pr.41 Porao	Valvula no Suporte - ATUAL	5	2	31/10/2017 23:09	3	1	18,33	0	OK	520288	373566869
-	OCB - 206.4	Pedaleira Accelo Pr.41 Porao	Valvula no Suporte - ATUAL	5	2	31/10/2017 23:09	2	1	18,4	4	OK	520288	373566869
-	OCB - 206.4	Pedaleira Accelo Pr.41 Porao	Valvula no Suporte - ATUAL	5	2	31/10/2017 23:09	1	1	18,58	0	OK	520288	373566869
75021	OCP - 204.4	GE MI Suspensao LD	Suspensão Interna Accelo	7	2	31/10/2017 22:51	3	1	108	49	OK	518857	373394300
982	OCP - 204.4	GE MI Suspensao LE	Suspensão Interna Accelo	7	3	31/10/2017 22:51	3	1	106	45	OK	518857	373394300
75020	OCP - 204.4	GE MI Suspensao LD	Suspensão Interna Accelo	7	2	31/10/2017 22:51	2	1	106,5	30	OK	518857	373394300
981	OCP - 204.4	GE MI Suspensao LE	Suspensão Interna Accelo	7	3	31/10/2017 22:51	2	1	106,1	36	OK	518857	373394300
75019	OCP - 204.4	GE MI Suspensao LD	Suspensão Interna Accelo	7	2	31/10/2017 22:51	1	1	110,1	58	OK	518857	373394300
980	OCP - 204.4	GE MI Suspensao LE	Suspensão Interna Accelo	7	3	31/10/2017 22:51	1	1	106,8	24	OK	518857	373394300
75018	OCP - 204.4	GE MI Suspensao LD	Suspensão Frontal Accelo	8	2	31/10/2017 22:51	1	1	172	74	OK	518857	373394300
979	OCP - 204.4	GE MI Suspensao LE	Suspensão Frontal Accelo	8	2	31/10/2017 22:51	1	1	172,3	54	OK	518857	373394300
-	OCB - 206.4	Pedaleira Accelo Pr.41 Porao	Console no suporte da Pedaleira - 7 - ATUAL	7	4	31/10/2017 22:48	8	1	21,76	5	OK	520247	373567333
-	OCB - 206.4	Pedaleira Accelo Pr.41 Porao	Console no suporte da Pedaleira - 7 - ATUAL	7	4	31/10/2017 22:48	7	1	21,34	0	OK	520247	373567333
-	OCB - 206.4	Pedaleira Accelo Pr.41 Porao	Console no suporte da Pedaleira - 7 - ATUAL	7	4	31/10/2017 22:48	6	1	21,28	0	OK	520247	373567333
-	OCB - 206.4	Pedaleira Accelo Pr.41 Porao	Console no suporte da Pedaleira - 7 - ATUAL	7	4	31/10/2017 22:48	5	1	21,04	1	OK	520247	373567333
75017	OCP - 204.4	GE MI Suspensao LD	Suspensão Interna Accelo	7	2	31/10/2017 22:47	3	1	106,6	34	OK	520137	373506642
-	OCB - 206.4	Pedaleira Accelo Pr.41 Porao	Valvula no Suporte - ATUAL	5	2	31/10/2017 22:47	4	1	18,52	0	OK	520247	373567333
-	OCB - 206.4	Pedaleira Accelo Pr.41 Porao	Valvula no Suporte - ATUAL	5	2	31/10/2017 22:47	3	1	18,36	0	OK	520247	373567333
-	OCB - 206.4	Pedaleira Accelo Pr.41 Porao	Valvula no Suporte - ATUAL	5	2	31/10/2017 22:47	2	1	18,58	0	OK	520247	373567333
-	OCB - 206.4	Pedaleira Accelo Pr.41 Porao	Valvula no Suporte - ATUAL	5	2	31/10/2017 22:46	1	1	18,76	0	OK	520247	373567333
75016	OCP - 204.4	GE MI Suspensao LD	Suspensão Interna Accelo	7	2	31/10/2017 22:46	2	1	107,6	37	OK	520137	373506642
75015	OCP - 204.4	GE MI Suspensao LD	Suspensão Interna Accelo	7	2	31/10/2017 22:46	1	1	109,1	61	OK	520137	373506642
75014	OCP - 204.4	GE MI Suspensao LD	Suspensão Frontal Accelo	8	2	31/10/2017 22:46	1	1	173,5	62	OK	520137	373506642
978	OCP - 204.4	GE MI Suspensao LE	Suspensão Interna Accelo	7	3	31/10/2017 22:45	3	1	106,5	34	OK	520137	373506642
977	OCP - 204.4	GE MI Suspensao LE	Suspensão Interna Accelo	7	3	31/10/2017 22:45	2	1	106,3	45	OK	520137	373506642
